id,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE/SF,LATITUDE,LONGITUDE
1716,Condo/Co-op,271-10 Grand Central Pkwy Unit 21T,Floral Park,NY,11005,270000,1,1,North Shore Towers,,,1975,46,,40.7574839,-73.7138635
1717,Condo/Co-op,91-10 34th Ave Unit 3E,Jackson Heights,NY,11372,410000,1,1,Almara,654,,1928,72,627,40.7544029,-73.876343
1718,Condo/Co-op,252-29 72 Ave Unit 159A,Bellerose,NY,11426,195000,1,1,Parkwood,,,1950,27,,40.7503671,-73.7210569
1719,Condo/Co-op,35-16 82 St #53,Jackson Heights,NY,11372,329000,1,1,Historic District,800,,1916,55,411,40.751256,-73.884863
1720,Condo/Co-op,91-10 32 Ave Unit E206,E. Elmhurst,NY,11369,199800,1,1,Northridge  No 1,,,1951,168,,40.7585034,-73.876594
1721,Condo/Co-op,Unit at 34 -41 78th St,Queens,NY,11372,349000,1,1,Jackson Heights,,,,47,,40.7526889,-73.8884082
1722,Condo/Co-op,,Jackson Heights,NY,11372,615000,2,1,Historic District,1230,,1938,64,500,40.7505666,-73.8936634
1723,Condo/Co-op,Unit at 185 W Houston St,New York,NY,10014,499000,0,1,Soho,,,,357,,40.7282453,-74.003525
1724,Condo/Co-op,60-23 Marathon Pkwy #433,Little Neck,NY,11362,199000,1,1,Deepdale Gardens,,,1950,23,,40.7578526,-73.7296297
1725,Condo/Co-op,Unit at 651 Madison St,Brooklyn,NY,11221,249999,1,1,Brooklyn,,,,113,,40.6871943,-73.9309763
1726,Condo/Co-op,27110 Grand Central Pkwy Unit 20T,Floral Park,NY,11005,289000,1,1,North Shore Towers,830,,1975,12,348,40.7574839,-73.7138635
1727,Condo/Co-op,52-15 65th Pl Unit 4F,Maspeth,NY,11378,229000,1,1,Ridgewood Gardens,,,1952,11,,40.7331513,-73.8997922
1728,Condo/Co-op,Unit at 1 Sheridan Sq,New York,NY,10014,799000,0,1,West Village,,,,16,,40.732742,-74.0018355
1729,Condo/Co-op,44-16 Macnish St Unit 3B,Elmhurst,NY,11373,310000,1,1,Broadway,,,1950,28,,40.7419722,-73.8798245
1730,Condo/Co-op,35-31 85th St Unit 6M,Jackson Heights,NY,11372,388500,1,1,Roosevelt Terrace Coop,,,1952,80,,40.7512279,-73.8812776
1731,Condo/Co-op,55-03 31st Ave Unit 5N,Woodside,NY,11377,427000,2,1,Woodside/Astoria,825,,1935,44,518,40.7576978,-73.9062423
1732,Condo/Co-op,55-03 31st Ave Unit 1J,Woodside,NY,11377,575000,3,1,Boulevard Gardens,,,1936,222,,40.7576978,-73.9062423
1733,Condo/Co-op,32-42 91st St #106,E. Elmhurst,NY,11369,210000,1,1,Northridge Coop Ii,700,,1952,22,300,40.7571109,-73.877327
1734,Condo/Co-op,Unit at 70 Charlton St,New York,NY,10014,1455000,1,1,Soho,,,,47,,40.7270799,-74.0063219
1735,Condo/Co-op,88-09 Northern Blvd Unit A106,Jackson Heights,NY,11372,189900,1,1,Northridge 3,,,1950,30,,40.7562132,-73.8795634
1736,Condo/Co-op,Unit at 77 -12 35th Ave,Queens,NY,11372,630000,2,1,Jackson Heights,,,,90,,40.751074,-73.888806
1737,Condo/Co-op,Unit at 83 -10 35th Ave,Queens,NY,11372,410000,1,1,Jackson Heights,,,,16,,40.7517246,-73.8832796
1738,Condo/Co-op,86-11 W 34 Ave Unit 5H,Jackson Heights,NY,11372,330000,1,1,Bristol Apts,510,,1951,54,647,40.7544728,-73.8808191
1739,Condo/Co-op,Unit at 511 Herkimer St,Brooklyn,NY,11213,680000,1,1,Brooklyn,,,,16,,40.6791088,-73.9364643
1740,Condo/Co-op,78-11 35th Ave Unit 1C,Jackson Heights,NY,11372,199000,0,1,Dunolly Gardens,,,1939,5,,40.7516253,-73.8878934
1741,Condo/Co-op,246-10 57th Dr,Douglaston,NY,11362,289000,2,1,Beech Hills,,,1953,29,,40.7566865,-73.7349253
1742,Condo/Co-op,32-43 88 St Unit B104,E. Elmhurst,NY,11369,310000,2,1,Northridge,,,1952,44,,40.7569405,-73.8797851
1743,Condo/Co-op,147-20 35 Ave #3,Flushing,NY,11354,568000,1,1,Royal Tower,,,1990,70,,40.766169,-73.8188158
1744,Condo/Co-op,35-40 30th St,Astoria,NY,11106,825000,1,1,Border Lic,869,,2007,61,949,40.7575993,-73.930579
1745,Condo/Co-op,107-16 37th Ave Unit 5B,Corona,NY,11368,548000,1,1,Corona North Condominium,,,2011,23,,40.7536899,-73.8608553
1746,Condo/Co-op,33-65 14th St Unit 9B,Long Island City,NY,11106,465000,2,1,North Queensview Homes,875,,1958,149,531,40.7636271,-73.9349082
1747,Condo/Co-op,19-49 79th St,Elmhurst,NY,11373,355000,1,1,Garden Bay,,,1950,69,,40.737975,-73.8801301
1748,Single Family Residential,31 Gardenia Ln #25,Staten Island,NY,10314,338888,2,1,New Springville,715,715,1988,21,474,40.5852808,-74.1618109
1749,Condo/Co-op,63-60 102nd St Unit D5,Rego Park,NY,11374,599000,2,1,New Hampshire,950,,1955,146,631,40.7319691,-73.8541569
1750,Condo/Co-op,41-38 66 St,Woodside,NY,11377,550000,2,1,Condo,,,2009,186,,40.7436792,-73.8983202
1751,Condo/Co-op,142-05 Roosevelt Ave #521,Flushing,NY,11354,307000,0,1,Barbizon,600,,1965,37,512,40.7607557,-73.825836
1752,Condo/Co-op,Unit at 220 Madison Ave,New York,NY,10016,550000,0,1,Murray Hill Kips Bay,,,,265,,40.7493888,-73.9820208
1753,Condo/Co-op,Unit at 388 Bridge St,Brooklyn,NY,11201,1349000,1,1,Downtown Brooklyn,,,,47,,40.6916519,-73.9857118
1754,Condo/Co-op,Unit at 320 State St,Brooklyn,NY,11201,1150000,2,1,Boerum Hill,,,,47,,40.6884574,-73.9869577
1755,Condo/Co-op,Unit at 301 E 79th St,New York,NY,10075,879000,1,1,Upper East Side,,,,16,,40.7733414,-73.9544658
1756,Condo/Co-op,26-69 30 St Unit 4A,Astoria,NY,11102,668000,1,1,Astoria,605,,2018,210,1104,40.768655,-73.920541
1757,Condo/Co-op,61-09 39th Ave Unit 4F,Woodside,NY,11377,575000,1,1,The Penelope Condos,854,,1927,295,673,40.7472374,-73.9021112
1758,Condo/Co-op,51-34 30th Ave Unit 5L,Woodside,NY,11377,315000,1,1,Boulevard Gardens,,,1935,41,,40.7592027,-73.9048874
1759,Condo/Co-op,Unit at 41 -42 50th St,Queens,NY,11377,535000,2,1,Woodside,,,,22,,40.745684,-73.9146559
1760,Condo/Co-op,Unit at 214 Mulberry St,New York,NY,10012,850000,1,1,Soho,,,,330,,40.7222005,-73.9960178
1761,Condo/Co-op,33-43 14th St Unit 7C,Long Island City,NY,11106,485000,2,1,North Queensview,865,,1958,91,561,40.7643264,-73.934332
1762,Condo/Co-op,Unit at 45 E 30th St,New York,NY,10016,975000,1,1,Flatiron,,,,47,,40.7449695,-73.983592
1763,Condo/Co-op,138-35 39 Ave Unit 13A,Flushing,NY,11354,1028000,1,1,Flushing Commons,848,,2017,133,1212,40.7612026,-73.8277106
1764,Condo/Co-op,Unit at 340 E 93rd St,New York,NY,10128,679000,1,1,Upper East Side,,,,6,,40.781007,-73.946774
1765,Condo/Co-op,Unit at 439 Hicks St,Brooklyn,NY,11201,415000,0,1,Cobble Hill,,,,16,,40.6876555,-73.9992897
1766,Single Family Residential,83-37 60th Dr,Middle Village,NY,11379,1059000,3,1,Middle Village,,4000,1920,113,,40.727373,-73.875696
1767,Condo/Co-op,Unit at 220 Madison Ave,New York,NY,10016,579000,0,1,Middle East Side,,,,40,,40.7493888,-73.9820208
1768,Condo/Co-op,43-33 46th St Unit F-7,Sunnyside,NY,11104,248000,0,1,4333 46th St Corp,425,,1931,82,584,40.7437704,-73.9183004
1769,Condo/Co-op,Unit at 56 Court St,Brooklyn,NY,11201,595000,1,1,Brooklyn Heights,,,,34,,40.6922277,-73.9914049
1770,Condo/Co-op,Unit at 71 Barrow St,New York,NY,10014,950000,1,1,West Village,,,,47,,40.73154,-74.0053843
1771,Condo/Co-op,Unit at 41 -02 Queens Blvd,Queens,NY,11104,765000,2,1,Sunnyside,,,,47,,40.74396,-73.922646
1772,Condo/Co-op,52-18 39th Ave Unit 1-A,Woodside,NY,11377,428000,2,1,39th Avenue Apartments,850,,1951,37,504,40.7483854,-73.91098
1773,Condo/Co-op,Unit at 350 E 77th St,New York,NY,10075,650000,1,1,Upper East Side,,,,153,,40.771122,-73.954409
1774,Condo/Co-op,Unit at 37 Greene St,New York,NY,10013,4300000,1,1,Soho,,,,47,,40.7219875,-74.0022127
1775,Condo/Co-op,77-12 35 Ave,Jackson Heights,NY,11372,489000,1,1,Berkeley,750,,1937,68,652,40.7512158,-73.8890252
1776,Condo/Co-op,226-26 Union Tpke Unit 5-R,Bayside,NY,11364,299900,2,1,Cambridge Hall,,,1950,36,,40.735656,-73.744526
1777,Condo/Co-op,Unit at 340 E 74th St,New York,NY,10021,695000,1,1,Upper East Side,,,,64,,40.7692488,-73.9557745
1778,Condo/Co-op,212-08 75th Ave Unit 4C,Bayside,NY,11364,225888,1,1,Windsor Park,,,1955,39,,40.7379222,-73.7586985
1779,Condo/Co-op,Unit at 2 Fifth Ave,New York,NY,10011,1975000,1,1,Greenwich Village,,,,285,,40.7322523,-73.9966579
1780,Condo/Co-op,Unit at 210 Lafayette St,New York,NY,10012,1699000,1,1,Soho,,,,195,,40.7217331,-73.9980389
1781,Condo/Co-op,Unit at 120 E 36th St,New York,NY,10016,659000,1,1,Murray Hill Kips Bay,,,,34,,40.7478254,-73.9794905
1782,Condo/Co-op,210-15 23 Ave Unit 5 B,Bayside,NY,11360,228000,1,1,Bay Terr Sect 10,950,,1969,15,240,40.7795237,-73.7810994
1783,Townhouse,64-59 59 Ave,Maspeth,NY,11378,489000,2,1,Maspeth,,1615,1915,47,,40.720521,-73.899106
1784,Condo/Co-op,Unit at 520 E 72nd St,New York,NY,10021,569000,1,1,Upper East Side,,,,61,,40.766117,-73.9527438
1785,Condo/Co-op,Unit at 21 -16 35th St,Queens,NY,11105,449000,2,1,Astoria,,,,90,,40.7750054,-73.9085061
1786,Condo/Co-op,Unit at 40 Great Jones St,New York,NY,10012,2400000,1,1,Greenwich Village,,,,16,,40.726964,-73.9926477
1787,Condo/Co-op,Unit at 22 Grove St,New York,NY,10014,525000,0,1,West Village,,,,16,,40.7323569,-74.0051548
1788,Condo/Co-op,61-45 98 St Unit 6H,Rego Park,NY,11374,459000,2,1,Park City Estates,,,1960,26,,40.7336877,-73.8587301
1789,Condo/Co-op,34-24 82 St Unit 5E,Jackson Heights,NY,11372,549000,2,1,Historic District,1000,,1937,56,549,40.752919,-73.8851679
1790,Condo/Co-op,147-20 35th Ave Unit 11D,Flushing,NY,11354,579000,1,1,Royal Tower,,,1990,29,,40.7662016,-73.8188858
1791,Condo/Co-op,220-30 Stronghurst Ave,Queens Village,NY,11427,210000,2,1,Bell Park Manor Terrace,,,1955,118,,40.7321995,-73.7449056
1792,Condo/Co-op,220-55 46 Ave Unit 16M,Bayside,NY,11361,262800,0,1,Lakeside Towers,630,,1964,8,417,40.760849,-73.759209
1793,Condo/Co-op,Unit at 39 E 29th St,New York,NY,10016,1650000,1,1,Flatiron,,,,223,,40.7444177,-73.984036
1794,Condo/Co-op,Unit at 5 -03 50th Ave,Queens,NY,11101,1075000,1,1,Long Island City,,,,47,,40.741261,-73.9461998
1795,Condo/Co-op,29-14 139 St Unit 2F,Flushing,NY,11354,209000,1,1,Mitchell Gardens # 2,700,,1955,30,299,40.7711672,-73.8298413
1796,Condo/Co-op,87-14 57th Rd Unit 3B,Elmhurst,NY,11373,510000,1,1,Queens Palace Condo,759,29760,1987,29,672,40.7330604,-73.8736968
1797,Condo/Co-op,45-15 82nd St Unit W-4E,Elmhurst,NY,11373,656040,1,1,Elmhurst Plaza Tower Ll,713,,2018,36,920,40.741118,-73.8824099
1798,Condo/Co-op,Unit at 77 Bleecker St,New York,NY,10012,775000,1,1,Greenwich Village,,,,131,,40.7269591,-73.9960877
1799,Condo/Co-op,Unit at 149 Sullivan St,New York,NY,10012,685000,2,1,Soho,,,,47,,40.727132,-74.001528
1800,Condo/Co-op,Unit at 145 E 29th St,New York,NY,10016,325000,0,1,Murray Hill Kips Bay,,,,195,,40.743016,-73.9809598
1801,Condo/Co-op,32-40 89 St #311,Jackson Heights,NY,11372,279999,2,1,Northridge Section 3,,,1950,181,,40.7574756,-73.8791393
1802,Condo/Co-op,2 Terrace Cir Unit 3H,Great Neck,NY,11021,249900,1,1,Great Neck Terrace,,,1950,20,,40.7766238,-73.7337649
1803,Condo/Co-op,217-22 73rd Ave,Bayside,NY,11364,338500,2,1,Oakland Gardens,,,1955,19,,40.7408197,-73.7561704
1804,Condo/Co-op,Unit at 250 Mercer St,New York,NY,10012,950000,1,1,Noho,,,,357,,40.7285852,-73.9950922
1805,Condo/Co-op,78-10 34 Ave Unit 2B,Jackson Heights,NY,11372,309000,1,1,Historic District,725,,1939,30,426,40.75312,-73.888229
1806,Condo/Co-op,Unit at 70 Charlton St,New York,NY,10014,1665000,1,1,Soho,,,,145,,40.7270799,-74.0063219
1807,Condo/Co-op,Unit at 36 White St,New York,NY,10013,2100000,2,1,Tribeca,,,,41,,40.7188982,-74.0044661
1808,Condo/Co-op,Unit at 39 E 29th St,New York,NY,10016,1289000,1,1,Flatiron,,,,131,,40.7444177,-73.984036
1809,Condo/Co-op,Unit at 170 W 74th St,New York,NY,10023,650000,1,1,Upper West Side,,,,131,,40.779647,-73.9803455
1810,Condo/Co-op,90-59 56 Ave Unit 8C,Elmhurst,NY,11373,289000,2,1,Justice Court,800,,1962,14,361,40.7366542,-73.8706208
1811,Condo/Co-op,Unit at 1010 Fifth Ave,New York,NY,10028,950000,0,1,Upper East Side,,,,198,,40.7790175,-73.9618194
1812,Condo/Co-op,Unit at 41 Central Park W,New York,NY,10023,1995000,2,1,Upper West Side,,,,131,,40.7713789,-73.9798579
1813,Condo/Co-op,Unit at 28 -20 Astoria Blvd,Queens,NY,11102,820000,1,1,Astoria,,,,47,,40.7706232,-73.920644
1814,Condo/Co-op,Unit at 28 -20 Astoria Blvd,Queens,NY,11102,759000,1,1,Astoria,,,,47,,40.7706232,-73.920644
1815,Condo/Co-op,Unit at 404 Park Ave S,New York,NY,10016,1599000,1,1,Middle East Side,,,,518,,40.7436267,-73.9841737
1816,Condo/Co-op,Unit at 350 E 82nd St,New York,NY,10028,685000,0,1,Upper East Side,,,,131,,40.7743326,-73.9519172
1817,Condo/Co-op,Unit at 66 Madison Ave,New York,NY,10016,759000,1,1,Flatiron,,,,131,,40.7436978,-73.9861709
1818,Condo/Co-op,Unit at 245 E 93rd St,New York,NY,10128,895000,1,1,Upper East Side,,,,40,,40.7827755,-73.948607
1819,Condo/Co-op,61-20 Grand Central Pkwy Unit C500,Forest Hills,NY,11375,329000,1,1,The Fairview,900,,1964,33,366,40.7380691,-73.8473845
1820,Condo/Co-op,Unit at 52 W 74th St,New York,NY,10023,1160000,2,1,Upper West Side,,,,47,,40.7783634,-73.9774244
1821,Condo/Co-op,Unit at 7 Park Ave,New York,NY,10016,850000,1,1,Murray Hill Kips Bay,,,,223,,40.7471106,-73.980845
1822,Condo/Co-op,1 Bay Club Dr Unit 20J,Bayside,NY,11360,659000,1,1,Bay Club,,,1982,190,,40.7780298,-73.7823408
1823,Condo/Co-op,Unit at 440 E 79th St,New York,NY,10075,495000,0,1,Upper East Side,,,,113,,40.7714766,-73.9513662
1824,Condo/Co-op,Unit at 60 W 68th St,New York,NY,10023,695000,1,1,Upper West Side,,,,90,,40.7743276,-73.9801104
1825,Condo/Co-op,97-45 63 Dr Unit 4D,Rego Park,NY,11374,545000,1,1,Rego Park Plaza,545,,2018,189,1000,40.731056,-73.859225
1826,Condo/Co-op,86-05 60th Rd Unit 6G,Elmhurst,NY,11373,282811,1,1,Karen Garden,,,1960,84,,40.730419,-73.872887
1827,Condo/Co-op,Unit at 21 -05 33rd St,Queens,NY,11105,299999,2,1,Astoria,,,,131,,40.7787902,-73.9065883
1828,Condo/Co-op,Unit at 41 W 72nd St,New York,NY,10023,1195000,1,1,Upper West Side,,,,16,,40.7773455,-73.9779983
1829,Condo/Co-op,Unit at 402 E 74th St,New York,NY,10021,549000,1,1,Upper East Side,,,,131,,40.7686029,-73.9544887
1830,Condo/Co-op,Unit at 370 E 76th St,New York,NY,10021,840000,1,1,Upper East Side,,,,16,,40.7704513,-73.9548752
1831,Condo/Co-op,Unit at 229 E 79th St,New York,NY,10075,1125000,2,1,Upper East Side,,,,47,,40.7739102,-73.955721
1832,Condo/Co-op,Unit at 179 E 79th St,New York,NY,10075,850000,1,1,Upper East Side,,,,16,,40.7746893,-73.9576173
1833,Condo/Co-op,70-25 Yellowstone Blvd Unit 11Z,Forest Hills,NY,11375,365000,1,1,Gerard Towers,,,1964,112,,40.7226227,-73.8493257
1834,Condo/Co-op,Unit at 25 -40 Shore Blvd,Queens,NY,11102,639000,1,1,Astoria,,,,16,,40.7765717,-73.9283585
1835,Condo/Co-op,,Corona,NY,11368,250000,1,1,Flushing,525,,2004,99,476,40.7409863,-73.8581477
1836,Condo/Co-op,135-23 78 Ave Unit 2nd Fl,Kew Garden Hills,NY,11367,235000,1,1,N/A,,,,28,,40.7201939,-73.8246049
1837,Condo/Co-op,35-50 85th St Unit 8D,Jackson Heights,NY,11372,540000,3,1,Roosevelt Terrace,,,1955,167,,40.7507675,-73.8819067
1838,Condo/Co-op,Unit at 130 Barrow St,New York,NY,10014,1425000,1,1,West Village,,,,131,,40.7322128,-74.009328
1839,Condo/Co-op,,Forest Hills,NY,11375,549000,1,1,Novo 64,816,,2009,5,673,40.7322407,-73.8512301
1840,Condo/Co-op,21-25 78 St,E. Elmhurst,NY,11370,549000,2,1,Garden Bay,950,,1365,29,578,40.7697838,-73.8915801
1841,Condo/Co-op,142-05 Roosevelt Ave #236,Flushing,NY,11354,399000,1,1,Barbizon,,,1965,77,,40.761002,-73.825895
1842,Condo/Co-op,21-20 202nd St,Whitestone,NY,11357,348800,2,1,Clearview,,,1956,35,,40.7785816,-73.7910617
1843,Condo/Co-op,Unit at 264 W 22nd St,New York,NY,10011,515000,1,1,Chelsea,,,,131,,40.7442437,-73.9985898
1844,Condo/Co-op,Unit at 365 St Johns Pl,Brooklyn,NY,11238,645000,2,1,Prospect Heights,,,,195,,40.674433,-73.965527
1845,Condo/Co-op,Unit at 130 Bay Ridge Pkwy,Brooklyn,NY,11209,235000,0,1,Bay Ridge,,,,215,,40.632204,-74.0321696
1846,Condo/Co-op,Unit at 361 Sterling Pl,Brooklyn,NY,11238,899000,2,1,Prospect Heights,,,,47,,40.6753866,-73.9662669
1847,Condo/Co-op,Unit at 570 44th St,Brooklyn,NY,11220,525000,1,1,Sunset Park,,,,131,,40.647187,-74.005263
1848,Vacant Land,281 New Jersey Ave,Brooklyn,NY,11207,290000,,,Brooklyn,,2500,,359,,40.672759,-73.894775
1849,Condo/Co-op,549 41 St Unit 2B,Brooklyn,NY,11232,599000,2,1,Parkside,,,1927,160,,40.6494349,-74.003441
1850,Condo/Co-op,Unit at 30 Ocean Pkwy,Brooklyn,NY,11218,845000,2,1,Windsor Terrace,,,,16,,40.6506462,-73.9742695
1851,Condo/Co-op,Unit at 566 Prospect Pl,Brooklyn,NY,11238,695000,2,1,Crown Heights,,,,40,,40.6751943,-73.9579786
1852,Condo/Co-op,Unit at 60 E 96th St,New York,NY,10128,1045000,2,1,Upper East Side,,,,47,,40.7868429,-73.9536584
1853,Vacant Land,832 Halsey,Bed-Stuy,NY,11233,488000,,,Bed-Stuy,,100,,12,,40.68488,-73.9208419
1854,Condo/Co-op,Unit at 15 E 91st St,New York,NY,10128,4300000,3,3.5,Upper East Side,,,,40,,40.7842915,-73.9567024
1855,Condo/Co-op,Unit at 1148 Fifth Ave,New York,NY,10128,4495000,3,3,Upper East Side,,,,251,,40.7875551,-73.9555219
1856,Condo/Co-op,Unit at 1125 Park Ave,New York,NY,10128,8950000,3,3.5,Upper East Side,,,,131,,40.782896,-73.954805
1857,Vacant Land,284 St. Pauls Ave,Staten Island,NY,10304,500000,0,,Tompkinsville,,16436,,174,,40.6311197,-74.0810006
1858,Condo/Co-op,Unit at 370 Ocean Pkwy,Brooklyn,NY,11218,550000,2,1,Kensington,,,,34,,40.6398713,-73.9740956
1859,Condo/Co-op,Unit at 47 Reeve Pl,Brooklyn,NY,11218,349000,0,1,Windsor Terrace,,,,16,,40.653475,-73.974762
1860,Condo/Co-op,Unit at 295 Saint Marks Ave,Brooklyn,NY,11238,775000,2,1,Prospect Heights,,,,47,,40.678082,-73.96534
1861,Condo/Co-op,Unit at 708 Eighth Ave,Brooklyn,NY,11215,999000,2,1.5,Park Slope,,,,47,,40.6668987,-73.9786182
1862,Condo/Co-op,Unit at 1170 Fifth Ave,New York,NY,10029,4700000,4,2.5,Upper East Side,,,,246,,40.7891594,-73.954328
1863,Condo/Co-op,Unit at 50 Lexington Ave,New York,NY,10010,1050000,2,2,Gramercy Park,,,,153,,40.7406448,-73.9842426
1864,Condo/Co-op,Unit at 310 E 46th St,New York,NY,10017,1185000,1,1,Middle East Side,,,,223,,40.752026,-73.9699117
1865,Vacant Land,0 Overlook Ave,Staten Island,NY,10304,650000,0,,Dongan Hills Colony,,6072,,50,,40.595958,-74.097536
1866,Condo/Co-op,Unit at 175 E 93rd St,New York,NY,10128,450000,1,1,Upper East Side,,,,40,,40.7838371,-73.9516187
1867,Condo/Co-op,Unit at 220 Madison Ave,New York,NY,10016,1425000,1,1,Middle East Side,,,,47,,40.7493888,-73.9820208
1868,Condo/Co-op,Unit at 67 Park Ave,New York,NY,10016,1599999,2,2,Middle East Side,,,,195,,40.7495742,-73.9790314
1869,Condo/Co-op,Unit at 5 Tudor City Pl,New York,NY,10017,429000,0,1,Murray Hill Kips Bay,,,,16,,40.7479568,-73.9709044
1870,Condo/Co-op,Unit at 1 Plaza St W,Brooklyn,NY,11217,899000,2,1,Park Slope,,,,16,,40.6752799,-73.9715013
1871,Condo/Co-op,215-40 47 Ave Unit 1C,Bayside,NY,11361,225000,1,1,Rocky Hill Terrace,,,1950,166,,40.757327,-73.7649763
1872,Condo/Co-op,Unit at 860 United Nations Plz,New York,NY,10017,950000,1,1,Middle East Side,,,,34,,40.7524986,-73.9661195
1873,Condo/Co-op,Unit at 267 E 7th St,New York,NY,10009,999000,1,1,East Village,,,,47,,40.7235678,-73.977247
1874,Condo/Co-op,Unit at 17 E 84th St,New York,NY,10028,2850000,3,2,Upper East Side,,,,44,,40.7799087,-73.9600679
1875,Condo/Co-op,39-65 51st. Unit 3-F,Woodside,NY,11377,415000,1,1,Sunnyhill Gardens,,,1951,90,,40.7469168,-73.9130302
1876,Condo/Co-op,Unit at 142 W End Ave,New York,NY,10023,935000,1,1,Upper West Side,,,,56,,40.7760213,-73.986491
1877,Condo/Co-op,Unit at 11 E 87th St,New York,NY,10128,875000,1,1,Upper East Side,,,,16,,40.7819602,-73.958897
1878,Condo/Co-op,Unit at 1060 Park Ave,New York,NY,10128,1550000,2,1,Upper East Side,,,,64,,40.7812136,-73.9570373
1879,Condo/Co-op,Unit at 415 Ocean Pkwy,Brooklyn,NY,11218,495000,1,1,Kensington,,,,20,,40.6387668,-73.9725804
1880,Condo/Co-op,Unit at 108 E 86th St,New York,NY,10028,1250000,2,2,Upper East Side,,,,131,,40.7797181,-73.9566929
1881,Condo/Co-op,Unit at 96 S Portland Ave,Brooklyn,NY,11217,799000,1,1,Fort Greene,,,,111,,40.6866841,-73.9747662
1882,Condo/Co-op,Unit at 165 Park Row,New York,NY,10038,970000,2,1,Chinatown,,,,47,,40.7129335,-74.0008906
1883,Condo/Co-op,370 Ocean Pkwy Unit 10G,Brooklyn,NY,11218,699000,2,1,Part Towers,,,1961,89,,40.6398713,-73.9740956
1884,Condo/Co-op,70-20 108 St Unit 10U,Forest Hills,NY,11375,599000,2,1,Continental,,,,9,,40.7224115,-73.8445116
1885,Condo/Co-op,Unit at 301 E 87th St,New York,NY,10128,660000,1,1,Upper East Side,,,,47,,40.7785894,-73.9507922
1886,Condo/Co-op,Unit at 45 E 89th St,New York,NY,10128,4775000,4,4,Upper East Side,,,,195,,40.782887,-73.9564633
1887,Condo/Co-op,Unit at 15 W 72nd St,New York,NY,10023,2395000,2,2,Upper West Side,,,,15,,40.7771759,-73.9768046
1888,Condo/Co-op,Unit at 221 E 18th St,Brooklyn,NY,11226,549000,1,1,Prospect Park,,,,16,,40.646024,-73.9621512
1889,Condo/Co-op,Unit at 261 Broadway,New York,NY,10013,1740000,3,2,Tribeca,,,,131,,40.7139102,-74.007014
1890,Townhouse,Unit at 18 E 84th St,New York,NY,10028,2000000,1,1,Upper East Side,,,,82,,40.7796824,-73.9603341
1891,Condo/Co-op,Unit at 150 E 93rd St,New York,NY,10128,549000,1,1,Upper East Side,,,,131,,40.7836666,-73.9522501
1892,Condo/Co-op,Unit at 916 Union St,Brooklyn,NY,11215,725000,1,1,Park Slope,,,,16,,40.672526,-73.9712947
1893,Vacant Land,666 Osborn St,Brooklyn,NY,11212,299000,,,Brooklyn,,1295,,125,,40.655356,-73.9053805
1894,Condo/Co-op,141-34 78th Rd Unit 2B,Flushing,NY,11367,315000,3,1,Regancy Gardens,,,1942,79,,40.7189603,-73.8188671
1895,Condo/Co-op,94-11 59 Ave Unit E21,Elmhurst,NY,11373,310000,1,1,9411 Eduardian,,,1954,16,,40.735309,-73.86655
1896,Condo/Co-op,Unit at 140 Nassau St,New York,NY,10038,1950000,2,2,Financial District,,,,518,,40.7111892,-74.0062106
1897,Condo/Co-op,Unit at 210 President St,Brooklyn,NY,11231,1450000,2,1,Carroll Gardens,,,,40,,40.6822599,-73.9988317
1898,Condo/Co-op,Unit at 321 E 45th St,New York,NY,10017,400000,0,1,Middle East Side,,,,131,,40.7514597,-73.969481
1899,Condo/Co-op,Unit at 41 W 82nd St,New York,NY,10024,2195000,3,2,Upper West Side,,,,131,,40.7837259,-73.9729477
1900,Condo/Co-op,Unit at 70 E 10th St,New York,NY,10003,1350000,1,1.5,Greenwich Village,,,,47,,40.7312484,-73.9910744
1901,Condo/Co-op,68-36 Burns St Unit C1,Forest Hills,NY,11375,439000,2,1,Chatwick Gardens,,,1930,3,,40.7207999,-73.850854
1902,Condo/Co-op,Unit at 1175 Park Ave,New York,NY,10128,6950000,4,3,Upper East Side,,,,47,,40.7842723,-73.9535933
1903,Condo/Co-op,Unit at 303 E 57th St,New York,NY,10022,1495000,3,2.5,Middle East Side,,,,113,,40.7595704,-73.9647745
1904,Condo/Co-op,Unit at 239 Central Park W,New York,NY,10024,3100000,3,2.5,Upper West Side,,,,2,,40.7840561,-73.9709274
1905,Condo/Co-op,Unit at 925 Union St,Brooklyn,NY,11215,539000,1,1,Park Slope,,,,215,,40.673466,-73.972212
1906,Condo/Co-op,77-02 34 Ave Unit B 42,Jackson Heights,NY,11372,295000,1,1,Kangil House,,,1935,125,,40.7530519,-73.8895492
1907,Condo/Co-op,Unit at 165 E 32nd St,New York,NY,10016,549000,0,1,Murray Hill Kips Bay,,,,69,,40.7447144,-73.9791921
1908,Condo/Co-op,Unit at 340 E 93rd St,New York,NY,10128,610000,1,1,Upper East Side,,,,40,,40.781007,-73.946774
1909,Condo/Co-op,Unit at 39 Gramercy Park N,New York,NY,10011,699000,1,1,Gramercy Park,,,,113,,40.737901,-73.984339
1910,Condo/Co-op,Unit at 480 Park Ave,New York,NY,10022,995000,1,1,Middle East Side,,,,113,,40.7627209,-73.9706519
